key,name,abbreviation,other_name,type,type2,survey,category,ra,dec,distance_modulus,distance_kpc,ellipticity,a_h,r_physical,m_v,velocity_dispersion,surface_brightness,structure_ref,distance_ref,kinematics_ref
am_1,AM 1,AM 1,,?,0,ps1,classical,58.7608,-49.6152,20.45,123.3,0.07,0.45,15.010137,-5.03,nan,24.4225364,2018ApJ...860...66M,,
antlia_2,Antlia II,Ant II,,dSph,4,,gaia,143.8868,-36.7673,20.6,131.8256739,0.38,76.2,2300.789747,-9.03,nan,31.3497774,2019MNRAS.488.2743T,2019MNRAS.488.2743T,
aquarius_2,Aquarius II,Aqr II,,dSph,5,ps1,atlas,338.4813,-9.3274,20.16,107.6465214,0.39,5.1,124.7272109,-4.4,5.4,29.6504182,2016MNRAS.463..712T,2016MNRAS.463..712T,2016MNRAS.463..712T
bootes_1,Bootes I,Boo I,,dSph,5,ps1,sdss,210.02,14.5135,19.1,66.0693448,0.3,9.97,160.3135737,-6.02,4.6,28.5754604,2018ApJ...860...66M,2012ApJ...744...96O,2011ApJ...736..146K
bootes_2,Bootes II,Boo II,,dSph,5,ps1,sdss,209.5141,12.8553,18.1,41.68693835,0.25,3.17,33.29016986,-2.94,10.5,28.2421928,2018ApJ...860...66M,2008ApJ...688..245W,2009ApJ...690..453K
bootes_3,Bootes III,Boo III,,?,4,ps1,sdss,209.3,26.8,18.35,46.77351413,0.5,30,288.6239554,-5.75,14,30.1222475,2009ApJ...693.1118G,arXiv:1204.1562,2012AJ....144....4M
bootes_4,Bootes IV,Boo IV,,?,3,ps1,hsc,233.689,43.726,21.6,208.9296131,0.64,7.6,277.1347336,-4.53,nan,31.2540667,2019PASJ..tmp...91H,2019PASJ..tmp...91H,None
canis_major_1,Canis Major,CMa,,?,0,ps1,classical,108.1458333,-27.66666667,14.29,7.211074792,nan,nan,nan,-14.39,nan,nan,2012AJ....144....4M,arXiv:1204.1562,
canes_venatici_1,Canes Venatici I,CVn I,,dSph,5,ps1,sdss,202.0091,33.5521,21.69,217.7709772,0.44,7.12,337.5204756,-8.8,7.6,27.412112,2018ApJ...860...66M,2008ApJ...674L..81K,2007ApJ...670..313S
canes_venatici_2,Canes Venatici II,CVn II,SDSS J1257+3419,dSph,5,ps1,sdss,194.2927,34.3226,21.02,159.9558029,0.4,1.52,54.78293934,-5.17,14.6,27.0938397,2018ApJ...860...66M,2008ApJ...675L..73G,2007ApJ...670..313S
carina_1,Carina,Car,,dSph,5,,classical,100.4065,-50.9593,20.106,105,0.36,10.1,248.1632556,-9.43,6.44,26.1142965,2018ApJ...860...66M,2018ApJ...860...66M,2009AJ....137.3100W
carina_2,Carina II,Car II,,dSph,5,,maglites,114.1066,-57.9991,17.79,36.14098626,0.34,8.69,76.79233291,-4.5,3.4,28.4971992,2018MNRAS.475.5085T,2018MNRAS.475.5085T,2018ApJ...857..145L
carina_3,Carina III,Car III,,dSph,4,,maglites,114.6298,-57.8997,17.22,27.79713268,0.55,3.75,20.34059449,-2.4,5.6,27.712431,2018MNRAS.475.5085T,2018MNRAS.475.5085T,2018ApJ...857..145L
centaurus_1,Centaurus I,Cen I,,dSph,3,,delve,189.585,-40.902,20.33,116.4126029,0.4,2.9,76.06760456,-5.55,nan,27.4266116,cen1paper,cen1paper,
cetus_2,Cetus II,Cet II,DES J0117-1725,?,3,ps1 des,des,19.47,-17.42,17.38,29.92264637,nan,1.9,16.5378755,0,nan,29.6830115,2015ApJ...813..109D,2015ApJ...813..109D,None
cetus_3,Cetus III,Cet III,,?,3,ps1 des,hsc,31.331,-4.27,22,251.1886432,0.76,1.23,44.02880005,-2.5,nan,29.2892974,2018PASJ...70S..18H,2018PASJ...70S..18H,None
columba_1,Columba I,Col I,DES J0531-2801,dSph,3,ps1 des,des,82.86,-28.01,21.31,182.8100216,0.3,2.2,97.88086936,-4.2,nan,29.324102,2017AJ....154..267C,2017AJ....154..267C,None
coma_berenices,Coma Berenices,Com,,dSph,5,ps1,sdss,186.7454,23.9069,18.22,44.05548635,0.37,5.64,57.36876436,-4.38,nan,27.9839894,2018ApJ...860...66M,2009ApJ...695L..83M,
crater_2,Crater II,Crt II,,dSph,4,ps1,atlas,177.31,-18.413,20.35,117.4897555,nan,31.2,1066.303197,-8.2,2.7,30.5099571,2016MNRAS.459.2370T,2016MNRAS.459.2370T,2017ApJ...839...20C
des_sag_1,DES J0111-1341,DESJ0111,DES 2,?,0,des,des,17.7929,-13.6848,17.12,26.54605562,0.27,0.59,3.892598034,0.3,nan,26.8218109,2017MNRAS.468...97L,2017MNRAS.468...97L,None
des_sag_2,DES J0225+0304,DESJ0225,,?,1,des,des,36.4267,3.0695,16.88,23.76840287,0.61,2.68,11.57159472,-1.1,nan,27.7875791,2017MNRAS.468...97L,2017MNRAS.468...97L,None
draco_1,Draco,Dra,UGC 10822; DDO 208,dSph,5,ps1,classical,260.0684,57.9185,19.4,75.8577575,0.29,9.67,179.7967204,-8.71,9.12,26.1345179,2018ApJ...860...66M,2004AJ....127..861B,2015MNRAS.448.2717W
draco_2,Draco II,Dra II,Laevens 4,?,3,ps1,ps1,238.174,64.579,16.67,21.57744409,0.23,3,16.52314578,-0.8,2.9,28.8610764,2018MNRAS.480.2609L,2018MNRAS.480.2609L,2016MNRAS.458L..59M
eridanus,Eridanus,Eri,,?,0,ps1,,66.1853,-21.1876,19.77,90.1,0.09,0.64,15.26413767,-4.93,nan,24.5589745,2018ApJ...860...66M,2018ApJ...860...66M,
eridanus_2,Eridanus II,Eri II,DES J0222.7-5217,dSph,5,des,des,56.0925,-43.5329,22.9,380.1893963,0.35,1.77,157.817828,-7.21,6.9,27.3513933,2018ApJ...860...66M,2016ApJ...824L..14C,2017ApJ...838....8L
eridanus_3,Eridanus III,Eri III,DES J0222.7-5217,?,0,des,des,35.6952,-52.2838,19.7,87.096359,0.58,0.3,4.925746043,-2.37,nan,24.6629732,2018ApJ...860...66M,arXiv:1204.1562,None
fornax_1,Fornax,For,,dSph,5,des,classical,39.9583,-34.4997,20.84,147.2312502,0.29,19.6,707.3125484,-13.46,10.59,24.3586533,2018ApJ...860...66M,2009AJ....138..459P,2009AJ....137.3100W
gaia_1,Gaia 1,Gaia1,,UFSC,0,des,gaia,101.47,-16.75,13.3,4.570881896,nan,6.5,8.642501704,-5,nan,23.2538079,2017MNRAS.470.2702K,2017MNRAS.470.2702K,None
gaia_2,Gaia 2,Gaia2,,UFSC,0,des,gaia,28.124,53.04,13.65,5.370317964,0.18,1.9,2.626555877,-2,nan,23.6675462,2017MNRAS.470.2702K,2017MNRAS.470.2702K,None
grus_1,Grus I,Gru I,,dSph,3,des,des,344.1797,-50.18,20.4,120.2264435,0.45,0.81,21.00837596,-3.47,-9999,26.7125755,2018ApJ...860...66M,2015ApJ...805..130K,2016ApJ...819...53W
grus_2,Grus II,Gru II,DES J2204-4626,dSph,3,des,des,331.02,-46.44,18.62,52.96634439,nan,6,92.44371023,-3.9,nan,29.4999978,2015ApJ...813..109D,2015ApJ...813..109D,None
